"";"cluster";"x";"y";"entity";"entity_type";"size";"color"
"4663";24;-42,59559;-31,865225;"БОХИН ДМИТРИЙ ЛЕОНИДОВИЧ";"author";1;"#BB248B"
"4664";29;-41,349453;37,05743;"ВОЛКОВ ПАВЕЛ АНДРЕЕВИЧ";"author";1;"#BB7C64"
"4665";6;-4,746115;23,869766;"МКРТУМЯН Н.В.";"author";1;"#00A5E1"
"4666";38;-6,179763;43,307457;"ШАТЛОВСКАЯ КАРИНА ВАЛЕРЬЯНОВНА";"author";1;"#BA9705"
"4667";45;1,5451225;-19,935125;"ЗЕМСКОВ А.В.";"author";1;"#BA6687"
"4668";44;-21,263687;-41,15853;"ДАК ХОАНГ МИНЬ";"author";1;"#BA215C"
"4669";25;26,978321;-42,32548;"МЕЛЬНИКОВ АНДРЕЙ ВИКТОРОВИЧ";"author";1;"#BB68B6"
"4670";25;17,993946;-37,523064;"БЕЛОУСОВ АНАТОЛИЙ ПЕТРОВИЧ";"author";1;"#BB68B6"
"4671";21;13,943698;32,801216;"СИНИЦЫН СЕРГЕЙ ВЛАДИМИРОВИЧ";"author";1;"#BB5509"
"4672";13;8,840136;47,94765;"ПАВЛОВА ТАТЬЯНА ПЕТРОВНА";"author";1;"#C0C0C0"
"4673";40;15,789099;16,88597;"СУДАРКИНА Е.Ю.";"author";1;"#BA0DAE"
"4674";27;-9,473893;21,462257;"ЕРМАКОВА ОЛЬГА ВИКТОРОВНА";"author";1;"#BB06BB"
"4675";30;-47,4253;27,435091;"ЮЛАЕВА Г.Н.";"author";1;"#BA70AA"
"4676";33;-24,720331;-3,2500854;"ЯШИН А.Н.";"author";1;"#BA2B7F"
"4677";6;-1,4515806;35,674236;"ГЕГЕЛЬ ЛЮДМИЛА АРНОЛЬДОВНА";"author";1;"#00A5E1"
"4678";15;-3,4127738;-12,192463;"МИРЗОЯН Л.А.";"author";1;"#87CEEB"
"4679";15;-4,3592424;-14,152523;"ЕФИМОВ АЛЕКСЕЙ ВИТАЛЬЕВИЧ";"author";1;"#87CEEB"
"4680";26;2,2987437;7,141548;"МОНАХОВА ВЕРОНИКА ПАВЛОВНА";"author";1;"#BBC18F"
"4681";41;-15,4411745;-18,098392;"ТАЛАЛАЕВ АНДРЕЙ АЛЕКСЕЕВИЧ";"author";1;"#BA52DA"
"4682";25;19,449173;-32,672203;"РОЧЕВ А.С.";"author";1;"#BB68B6"
"4683";4;-15,283453;-52,89865;"ФИЛИППОВА И.О.";"author";1;"#E10291"
"4684";32;35,517143;-22,584509;"ГЕРМАН МАРИНА АЛЕКСАНДРОВНА";"author";1;"#BAE753"
